year,sex,age_group_5yr,income_level,region_code,region_name,district_code,person_years,patient_count,inpatient_episodes,death_within_28days
2023,1,20,0,11,서울특별시,1,5012.17,5016,2,0
2023,1,20,0,26,부산광역시,1,2689.82,2690,0,0
2023,1,20,0,26,부산광역시,3,93.0,93,0,0
2023,1,20,0,27,대구광역시,1,1948.68,1949,11,0
2023,1,20,0,27,대구광역시,3,143.0,143,0,0
2023,1,20,0,28,인천광역시,1,1903.25,1904,2,0
2023,1,20,0,28,인천광역시,3,44.0,44,0,0
2023,1,20,0,29,광주광역시,1,1706.0,1706,0,0
2023,1,20,0,30,대전광역시,1,1186.56,1187,0,0
2023,1,20,0,31,울산광역시,1,255.0,255,3,0
2023,1,20,0,31,울산광역시,3,68.0,68,0,0
2023,1,20,0,36,세종특별자치시,1,91.0,91,0,0
2023,1,20,0,41,경기도,1,1794.81,1797,0,0
2023,1,20,0,41,경기도,2,2729.28,2731,0,0
2023,1,20,0,41,경기도,3,95.0,95,0,0
2023,1,20,0,43,충청북도,1,398.0,398,0,0
2023,1,20,0,43,충청북도,2,241.0,241,0,0
2023,1,20,0,43,충청북도,3,197.0,197,0,0
2023,1,20,0,44,충청남도,1,330.63,331,0,0
2023,1,20,0,44,충청남도,2,455.44,457,0,0
2023,1,20,0,44,충청남도,3,185.0,185,1,0
2023,1,20,0,45,전라북도,1,700.0,700,0,0
2023,1,20,0,45,전라북도,2,817.0,817,0,0
2023,1,20,0,45,전라북도,3,258.0,258,0,0
2023,1,20,0,46,전라남도,2,639.44,641,0,0
2023,1,20,0,46,전라남도,3,511.3,512,0,0
2023,1,20,0,47,경상북도,1,285.0,285,0,0
2023,1,20,0,47,경상북도,2,995.12,996,0,0
2023,1,20,0,47,경상북도,3,234.0,234,0,0
2023,1,20,0,48,경상남도,1,393.0,393,0,0
2023,1,20,0,48,경상남도,2,968.0,968,0,0
2023,1,20,0,48,경상남도,3,237.63,238,0,0
2023,1,20,0,50,제주특별자치도,2,465.52,467,1,0
2023,1,20,0,51,강원특별자치도,2,758.66,759,0,0
2023,1,20,0,51,강원특별자치도,3,187.0,187,0,0
2023,1,20,1,11,서울특별시,1,12569.82,12573,0,0
2023,1,20,1,26,부산광역시,1,5524.81,5526,2,0
2023,1,20,1,26,부산광역시,3,248.0,248,0,0
2023,1,20,1,27,대구광역시,1,4077.97,4081,0,0
2023,1,20,1,27,대구광역시,3,377.0,377,0,0
2023,1,20,1,28,인천광역시,1,4395.47,4397,1,0
2023,1,20,1,28,인천광역시,3,116.0,116,0,0
2023,1,20,1,29,광주광역시,1,3155.4,3156,1,0
2023,1,20,1,30,대전광역시,1,2841.85,2842,0,0
2023,1,20,1,31,울산광역시,1,1205.77,1206,2,0
2023,1,20,1,31,울산광역시,3,323.0,323,0,0
2023,1,20,1,36,세종특별자치시,1,305.0,305,0,0
2023,1,20,1,41,경기도,1,6845.59,6849,1,0
2023,1,20,1,41,경기도,2,10239.56,10244,1,0
2023,1,20,1,41,경기도,3,317.0,317,1,0
2023,1,20,1,43,충청북도,1,1497.0,1497,0,0
2023,1,20,1,43,충청북도,2,746.33,747,0,0
2023,1,20,1,43,충청북도,3,636.63,637,0,0
2023,1,20,1,44,충청남도,1,1216.74,1217,0,0
2023,1,20,1,44,충청남도,2,1686.92,1687,0,0
2023,1,20,1,44,충청남도,3,762.54,763,0,0
2023,1,20,1,45,전라북도,1,1513.0,1513,0,0
2023,1,20,1,45,전라북도,2,1824.17,1825,0,0
2023,1,20,1,45,전라북도,3,580.0,580,0,0
2023,1,20,1,46,전라남도,2,2167.14,2168,0,0
2023,1,20,1,46,전라남도,3,1795.33,1796,0,0
2023,1,20,1,47,경상북도,1,801.0,801,0,0
2023,1,20,1,47,경상북도,2,3253.8,3255,0,0
2023,1,20,1,47,경상북도,3,823.0,823,0,0
2023,1,20,1,48,경상남도,1,1601.28,1602,13,0
2023,1,20,1,48,경상남도,2,3410.78,3411,1,0
2023,1,20,1,48,경상남도,3,823.6,824,0,0
2023,1,20,1,50,제주특별자치도,2,1265.64,1267,0,0
2023,1,20,1,51,강원특별자치도,2,2246.88,2248,1,0
2023,1,20,1,51,강원특별자치도,3,652.44,654,0,0
2023,1,20,2,11,서울특별시,1,11459.82,11461,2,0
2023,1,20,2,26,부산광역시,1,4420.06,4421,2,0
2023,1,20,2,26,부산광역시,3,180.0,180,0,0
2023,1,20,2,27,대구광역시,1,2843.08,2847,0,0
2023,1,20,2,27,대구광역시,3,282.0,282,0,0
2023,1,20,2,28,인천광역시,1,3758.62,3759,0,0
2023,1,20,2,28,인천광역시,3,100.0,100,0,0
2023,1,20,2,29,광주광역시,1,2272.47,2273,0,0
2023,1,20,2,30,대전광역시,1,2521.98,2522,0,0
2023,1,20,2,31,울산광역시,1,837.24,839,0,0
2023,1,20,2,31,울산광역시,3,230.0,230,0,0
